,Tweet,Date,Time
161,"@thelastgreatila @evanescentjax @gingertits_ @charsflvral Don't you dare call Black Lives Matter political. You nee\xe2\x80\xa6 https://t.co/NSN1rNM7cf""",2021-03-03,22:49:51
162,"@pebonilla @Popehat Coming from a family with long history of law enforcement, stories like this make me puke over\xe2\x80\xa6 https://t.co/7gHxYi1dV9'",2021-03-03,22:49:29
163,"RT @Liz_kasper23: As a writer, or any person with a voice that the public may hear, I believe we are obligated to speak on critical issues;\xe2\x80\xa6'",2021-03-03,22:49:23
164,@justicedems @CoriBush Black lives do not matter. \n\nALM',2021-03-03,22:49:08
165,RT @safetytae1: black lives still matter',2021-03-03,22:48:59
166,"RT @ida_v_e: Incredible remarks from a member of Broward Black Lives Matter, a doula &amp; @BirthJustice member, who testifies in opposition. T\xe2\x80\xa6'",2021-03-03,22:48:17
167,black lives still matter',2021-03-03,22:47:11
168,Olivia Davidson says Black Lives Matter!',2021-03-03,22:47:03
169,Black Lives Matter Wants to Abolish the Police During a Homicide Surge in Los Angeles - 136 homicides committed in\xe2\x80\xa6 https://t.co/Zeedl4PINU',2021-03-03,22:45:34
170,"I also find it so hypocritical that you post about black lives matter on your page, yet you're following someone wh\xe2\x80\xa6 https://t.co/7pNceePTdR""",2021-03-03,22:45:10
171,The Army has a whole lot of explaining to do to justify how they were used against Black Lives Matter protesters bu\xe2\x80\xa6 https://t.co/CFq515Vkn4',2021-03-03,22:45:08
172,RT @denzelpsd: Black Lives Matter! https://t.co/LgQDnl3rYg',2021-03-03,22:45:04
173,"Dolly Parton: 'Of course black lives matter!' https://t.co/OennEZMAiy""",2021-03-03,22:45:03
174,@_9_10_11_ @tmt50three @Tacticus22 @JonathanTurley @JoeBiden Now you sound like a racist. The proud boogaloo boys a\xe2\x80\xa6 https://t.co/kafzB8EYQy',2021-03-03,22:44:58
175,"RT @LukeDavisSEO: ""We see you, we hear you, we stand with you""\n""We\'re committed to making REAL change. Black Lives Matter""\n""We\'ll look at o\xe2\x80\xa6'",2021-03-03,22:44:46
